tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;poland;0.965674;;;
0;middle_aged;poland;0.999867;;;
0;old;poland;1.000000;;;
1;young;poland;0.997638;;;
1;middle_aged;poland;0.986698;;;
1;old;poland;0.986788;;;
2;young;poland;0.963565;;;
2;middle_aged;poland;0.700037;;;
2;old;poland;0.700000;;;
3;young;poland;0.700000;;;
3;middle_aged;poland;0.700000;;;
3;old;poland;0.700000;;;
4;young;poland;0.700000;;;
4;middle_aged;poland;0.700000;;;
4;old;poland;0.700000;;;
5;young;poland;0.700000;;;
5;middle_aged;poland;0.700000;;;
5;old;poland;0.700000;;;
6;young;poland;0.700000;;;
6;middle_aged;poland;0.700000;;;
6;old;poland;0.700000;;;
7;young;poland;0.700000;;;
7;middle_aged;poland;0.700000;;;
7;old;poland;0.700000;;;
8;young;poland;0.700000;;;
8;middle_aged;poland;0.700000;;;
8;old;poland;0.700000;;;
9;young;poland;0.745743;;;
9;middle_aged;poland;0.716755;;;
9;old;poland;0.773297;;;
10;young;poland;0.700013;;;
10;middle_aged;poland;0.718370;;;
10;old;poland;0.933725;;;
11;young;poland;0.876971;;;
11;middle_aged;poland;0.753235;;;
11;old;poland;0.700000;;;
12;young;poland;0.892308;;;
12;middle_aged;poland;0.704042;;;
12;old;poland;0.987586;;;
13;young;poland;0.987694;;;
13;middle_aged;poland;0.753900;;;
13;old;poland;0.978300;;;
14;young;poland;1.000000;;;
14;middle_aged;poland;0.707319;;;
14;old;poland;1.000000;;;
15;young;poland;0.743007;;;
15;middle_aged;poland;0.882308;;;
15;old;poland;0.796859;;;
16;young;poland;0.933943;;;
16;middle_aged;poland;0.941966;;;
16;old;poland;0.750740;;;
17;young;poland;0.702676;;;
17;middle_aged;poland;0.865657;;;
17;old;poland;0.979828;;;
18;young;poland;0.962375;;;
18;middle_aged;poland;0.960662;;;
18;old;poland;0.773931;;;
19;young;poland;1.000000;;;
19;middle_aged;poland;0.999980;;;
19;old;poland;1.000000;;;
20;young;poland;1.000000;;;
20;middle_aged;poland;1.000000;;;
20;old;poland;1.000000;;;
21;young;poland;1.000000;;;
21;middle_aged;poland;1.000000;;;
21;old;poland;1.000000;;;
22;young;poland;1.000000;;;
22;middle_aged;poland;1.000000;;;
22;old;poland;1.000000;;;
23;young;poland;1.000000;;;
23;middle_aged;poland;1.000000;;;
23;old;poland;1.000000;;;
24;young;poland;1.000000;;;
24;middle_aged;poland;1.000000;;;
24;old;poland;1.000000;;;
25;young;poland;1.000000;;;
25;middle_aged;poland;1.000000;;;
25;old;poland;1.000000;;;
