tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;poland;0.999997;;;
0;middle_aged;poland;1.000000;;;
0;old;poland;0.999994;;;
1;young;poland;1.000000;;;
1;middle_aged;poland;1.000000;;;
1;old;poland;0.999969;;;
2;young;poland;0.999998;;;
2;middle_aged;poland;1.000000;;;
2;old;poland;1.000000;;;
3;young;poland;0.984861;;;
3;middle_aged;poland;0.760368;;;
3;old;poland;0.999969;;;
4;young;poland;0.700009;;;
4;middle_aged;poland;0.700000;;;
4;old;poland;0.797594;;;
5;young;poland;0.700001;;;
5;middle_aged;poland;0.700004;;;
5;old;poland;0.700003;;;
6;young;poland;0.700002;;;
6;middle_aged;poland;0.700000;;;
6;old;poland;0.700001;;;
7;young;poland;0.700003;;;
7;middle_aged;poland;0.700000;;;
7;old;poland;0.700004;;;
8;young;poland;0.700003;;;
8;middle_aged;poland;0.700001;;;
8;old;poland;0.700002;;;
9;young;poland;0.700000;;;
9;middle_aged;poland;0.700000;;;
9;old;poland;0.700002;;;
10;young;poland;0.700002;;;
10;middle_aged;poland;0.700000;;;
10;old;poland;0.700001;;;
11;young;poland;0.700000;;;
11;middle_aged;poland;0.700000;;;
11;old;poland;0.700000;;;
12;young;poland;0.700021;;;
12;middle_aged;poland;0.700000;;;
12;old;poland;0.700001;;;
13;young;poland;0.700001;;;
13;middle_aged;poland;0.700002;;;
13;old;poland;0.700039;;;
14;young;poland;0.700020;;;
14;middle_aged;poland;0.700012;;;
14;old;poland;0.704462;;;
15;young;poland;0.701103;;;
15;middle_aged;poland;0.700034;;;
15;old;poland;0.999958;;;
16;young;poland;0.999999;;;
16;middle_aged;poland;0.745242;;;
16;old;poland;0.999999;;;
17;young;poland;0.999991;;;
17;middle_aged;poland;0.999998;;;
17;old;poland;0.999998;;;
18;young;poland;0.999998;;;
18;middle_aged;poland;1.000000;;;
18;old;poland;0.999998;;;
19;young;poland;0.999998;;;
19;middle_aged;poland;1.000000;;;
19;old;poland;1.000000;;;
20;young;poland;0.999994;;;
20;middle_aged;poland;1.000000;;;
20;old;poland;0.999999;;;
21;young;poland;0.999990;;;
21;middle_aged;poland;1.000000;;;
21;old;poland;1.000000;;;
22;young;poland;0.999997;;;
22;middle_aged;poland;1.000000;;;
22;old;poland;1.000000;;;
23;young;poland;0.999999;;;
23;middle_aged;poland;1.000000;;;
23;old;poland;0.999999;;;
24;young;poland;1.000000;;;
24;middle_aged;poland;1.000000;;;
24;old;poland;0.999999;;;
25;young;poland;0.999996;;;
25;middle_aged;poland;1.000000;;;
25;old;poland;1.000000;;;
