tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;1465;0.999998;;;
0;young;1261;0.999998;;;
0;young;1061;0.999998;;;
0;young;0264;0.999998;;;
0;young;3064;0.999998;;;
0;young;2261;0.999998;;;
0;young;3262;0.999998;;;
0;young;0461;0.999998;;;
0;young;0663;0.999998;;;
0;young;3021;0.999998;;;
0;young;2469;0.999998;;;
0;young;2061;0.999998;;;
0;young;1206;0.999998;;;
0;young;2262;0.999998;;;
0;young;2464;0.999998;;;
0;young;1463;0.999998;;;
0;young;1434;0.999998;;;
0;young;2475;0.999998;;;
0;young;1210;0.999998;;;
0;young;2604;0.999998;;;
0;young;0463;0.999998;;;
0;young;2661;0.999998;;;
0;young;2215;0.999998;;;
0;young;1216;0.999998;;;
0;young;2466;0.999998;;;
0;young;1211;0.999998;;;
0;young;1863;0.999998;;;
0;young;2403;0.999998;;;
0;young;2461;0.999998;;;
0;young;2862;0.999998;;;
0;young;2478;0.999998;;;
0;young;2462;0.999998;;;
0;young;0208;0.999998;;;
0;young;0407;0.999998;;;
0;young;1020;0.999998;;;
0;young;1418;0.999998;;;
0;young;0219;0.999998;;;
0;young;3017;0.999998;;;
0;young;1816;0.999998;;;
0;young;1218;0.999998;;;
0;young;2415;0.999998;;;
0;young;2402;0.999998;;;
0;young;1213;0.999998;;;
0;young;1421;0.999998;;;
0;young;2401;0.999998;;;
0;young;2417;0.999998;;;
0;young;1425;0.999998;;;
0;young;0609;0.999998;;;
0;young;1412;0.999998;;;
0;young;2413;0.999998;;;
0;young;2472;0.999998;;;
0;young;2002;0.999998;;;
0;young;3003;0.999998;;;
0;young;1607;0.999998;;;
0;young;2473;0.999998;;;
0;young;3019;0.999998;;;
0;young;0862;0.999998;;;
0;young;2404;0.999998;;;
0;young;1811;0.999998;;;
0;young;1803;0.999998;;;
0;young;1661;0.999998;;;
0;young;2477;0.999998;;;
0;young;3010;0.999998;;;
0;young;1203;0.999998;;;
0;young;1207;0.999998;;;
0;young;2213;0.999998;;;
0;young;1609;0.999998;;;
0;young;2861;0.999998;;;
0;young;1462;0.999998;;;
0;young;2416;0.999998;;;
0;young;2465;0.999998;;;
0;young;0861;0.999998;;;
0;young;1804;0.999998;;;
0;young;2814;0.999998;;;
0;young;3214;0.999998;;;
0;young;1209;0.999998;;;
0;young;1016;0.999998;;;
0;young;2463;0.999998;;;
0;young;1008;0.999998;;;
0;young;1014;0.999998;;;
0;young;2205;0.999998;;;
0;young;1417;0.999998;;;
0;young;0223;0.999998;;;
0;young;0403;0.999998;;;
0;young;0265;0.999998;;;
0;young;1012;0.999998;;;
0;young;0614;0.999998;;;
0;young;2607;0.999998;;;
0;young;0464;0.999998;;;
0;young;1805;0.999998;;;
0;young;2214;0.999998;;;
0;young;1212;0.999998;;;
0;young;0601;0.999998;;;
0;young;1219;0.999998;;;
0;young;1263;0.999998;;;
0;young;1001;0.999998;;;
0;young;0620;0.999998;;;
0;young;1807;0.999998;;;
0;young;1419;0.999998;;;
0;young;2405;0.999998;;;
0;young;0611;0.999998;;;
0;young;2411;0.999998;;;
0;young;3261;0.999998;;;
0;young;1818;0.999998;;;
0;young;1205;0.999998;;;
0;young;1403;0.999998;;;
0;young;1408;0.999998;;;
0;young;1432;0.999998;;;
0;young;2410;0.999998;;;
0;young;2815;0.999998;;;
0;young;0211;0.999998;;;
0;young;0202;0.999998;;;
0;young;3061;0.999998;;;
0;young;0214;0.999998;;;
0;young;1201;0.999998;;;
0;young;0602;0.999998;;;
0;young;0262;0.999998;;;
0;young;0414;0.999998;;;
